,datetime,next_change_id
244,2019-09-17 00:00:01,487504197-504514301-476022941-544570866-517342468
245,2019-09-17 01:00:00,487532296-504544227-476049965-544603140-517373223
246,2019-09-17 02:00:01,487560530-504574269-476076984-544634622-517403613
247,2019-09-17 03:00:00,487589872-504605069-476112609-544667290-517434943
248,2019-09-17 04:00:00,487619852-504635145-476138827-544698493-517465374
249,2019-09-17 05:00:00,487648759-504665685-476171982-544729296-517494896
250,2019-09-17 06:00:00,487676307-504696119-476199414-544759448-517524490
251,2019-09-17 07:00:00,487704802-504725489-476226633-544790522-517554176
252,2019-09-17 08:00:00,487734442-504755350-476255183-544822775-517585132
253,2019-09-17 09:00:00,487767495-504788050-476284717-544859188-517617919
254,2019-09-17 10:00:00,487799407-504821285-476314821-544896941-517652035
255,2019-09-17 11:00:00,487835967-504858973-476349057-544936722-517690830
256,2019-09-17 12:00:01,487877201-504899323-476388425-544980835-517732742
257,2019-09-17 13:00:00,487923720-504945156-476432484-545029572-517778288
258,2019-09-17 14:00:00,487972294-504994720-476480332-545082123-517828656
259,2019-09-17 15:00:00,488040696-505048446-476530471-545139919-517881399
260,2019-09-17 16:00:00,488096998-505098259-476577581-545196612-517931722
261,2019-09-17 17:00:00,488145218-505146428-476623854-545249243-517981643
262,2019-09-17 18:00:00,488191379-505194409-476668079-545299048-518028704
263,2019-09-17 19:00:00,488238961-505242639-476714066-545352855-518075358
264,2019-09-17 20:00:00,488293990-505283942-476752819-545401394-518115816
265,2019-09-17 21:00:00,488333299-505324226-476791746-545444314-518157139
266,2019-09-17 22:00:00,488367668-505361427-476825737-545482873-518194530
267,2019-09-17 23:00:00,488397831-505392746-476854634-545519413-518227418
268,2019-09-18 00:00:00,488425887-505421620-476881218-545553305-518257947
269,2019-09-18 01:00:00,488454019-505448361-476906615-545583025-518287547
270,2019-09-18 02:00:00,488480867-505476262-476933216-545614596-518319402
271,2019-09-18 03:00:01,488508323-505504285-476960913-545648321-518349172
272,2019-09-18 04:00:01,488534777-505537162-476987829-545677588-518378442
273,2019-09-18 05:00:01,488562160-505566472-477014485-545705394-518405837
274,2019-09-18 06:00:00,488588507-505593274-477042295-545733788-518434626
275,2019-09-18 07:00:00,488615027-505619404-477069775-545763465-518464111
276,2019-09-18 08:00:00,488644139-505648793-477098422-545794944-518493867
277,2019-09-18 09:00:00,488673201-505680831-477128992-545828690-518525714
278,2019-09-18 10:00:00,488707016-505711367-477160590-545863599-518558312
279,2019-09-18 11:00:00,488743682-505746914-477194283-545903010-518594183
280,2019-09-18 12:00:00,488786209-505785012-477232956-545945858-518637861
281,2019-09-18 13:00:00,488831797-505826065-477276387-545992249-518683468
282,2019-09-18 14:00:00,488879474-505876684-477324613-546042553-518732211
283,2019-09-18 15:00:00,488929325-505924851-477372441-546093116-518782799
284,2019-09-18 16:00:00,488977372-505972467-477421574-546145366-518832940
285,2019-09-18 17:00:00,489023819-506019393-477489763-546194625-518881739
286,2019-09-18 18:00:00,489068976-506066400-477537132-546242787-518928212
287,2019-09-18 19:00:00,489112137-506111366-477578360-546302249-518972870
288,2019-09-18 20:00:00,489154241-506154594-477619101-546347731-519015110
289,2019-09-18 21:00:00,489191779-506193670-477666375-546388664-519053197
290,2019-09-18 22:00:00,489225859-506225303-477697885-546424530-519088219
291,2019-09-18 23:00:00,489231241-506230882-477702972-546430300-519093629
292,2019-09-19 00:00:00,489257147-506255717-477725748-546455640-519119310
293,2019-09-19 01:00:01,489284605-506283500-477750296-546484870-519148798
294,2019-09-19 02:00:00,489312092-506313227-477778231-546514775-519178375
295,2019-09-19 03:00:00,489339651-506341256-477805376-546546366-519207620
296,2019-09-19 04:00:00,489364932-506369514-477832263-546576788-519236591
297,2019-09-19 05:00:00,489390574-506398409-477859129-546604975-519264464
298,2019-09-19 06:00:00,489416547-506425531-477886213-546633710-519292488
299,2019-09-19 07:00:00,489444883-506453795-477913237-546663097-519323328
300,2019-09-19 08:00:00,489472984-506481912-477942647-546695017-519354600
301,2019-09-19 09:00:00,489502296-506511439-477973750-546727999-519386968
302,2019-09-19 10:00:00,489535813-506545389-478005478-546763601-519420471
303,2019-09-19 11:00:00,489571374-506603665-478039235-546803470-519457195
304,2019-09-19 12:00:00,489611552-506654160-478077513-546847161-519497358
